Jul 25, 2025  12:17:28 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 2 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.99E-005 
Filament Current, 1.00, mAmps
Start time, Jul 25, 2025  12:17:28 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         24.00          magnesium             1.00         3            OFF
2         138.00         Barium                1.00         3            OFF


Time(s)      Channel#1   Channel#2   

0.000,   1.5613E-008,   6.2111E-009,  
0.998,   6.4523E-009,   4.7688E-009,  
2.012,   8.6332E-009,   4.3920E-009,  
3.026,   5.1809E-009,   5.1508E-009,  
4.040,   6.8090E-009,   4.4774E-009,  
5.054,   6.9146E-009,   4.8141E-009,  
6.068,   9.3618E-009,   3.9548E-009,  
7.082,   5.8241E-009,   5.2663E-009,  
8.096,   7.1457E-009,   5.2312E-009,  
9.110,   8.5930E-009,   2.4724E-009,  
10.124,   6.0101E-009,   4.2261E-009,  
11.138,   6.0503E-009,   5.2462E-009,  
12.152,   4.7889E-009,   4.6935E-009,  
13.166,   6.9749E-009,   5.5779E-009,  
14.196,   5.6834E-009,   4.1859E-009,  
15.194,   6.2462E-009,   4.3518E-009,  
16.208,   8.4774E-009,   5.2613E-009,  
17.222,   6.8040E-009,   4.7337E-009,  
18.236,   5.8141E-009,   4.7739E-009,  
19.250,   5.4422E-009,   3.3719E-009,  
20.264,   8.1508E-009,   3.8744E-009,  
21.278,   8.0854E-009,   4.1859E-009,  
22.292,   5.5176E-009,   5.0302E-009,  
23.306,   7.1508E-009,   4.2613E-009,  
24.320,   9.1759E-009,   5.0804E-009,  
25.334,   6.5980E-009,   5.4121E-009,  
26.348,   6.7035E-009,   3.5025E-009,  
27.362,   5.7387E-009,   5.2111E-009,  
28.376,   9.0653E-009,   3.2563E-009,  
29.390,   5.5075E-009,   4.6533E-009,  
30.404,   6.8894E-009,   4.4523E-009,  
31.418,   7.8492E-009,   4.4724E-009,  
32.432,   8.9849E-009,   5.7688E-009,  
33.446,   6.6533E-009,   4.3568E-009,  
34.460,   6.3367E-009,   5.1256E-009,  
35.490,   7.5729E-009,   4.7035E-009,  
36.488,   6.8794E-009,   4.3819E-009,  
37.502,   4.7538E-009,   4.5829E-009,  
38.516,   6.1859E-009,   5.8141E-009,  
39.530,   8.5075E-009,   4.7136E-009,  
40.544,   6.2864E-009,   5.3166E-009,  
41.558,   5.3367E-009,   5.3970E-009,  
42.572,   6.7487E-009,   5.6533E-009,  
43.586,   8.1709E-009,   5.1206E-009,  
44.600,   7.7889E-009,   4.3367E-009,  
45.614,   7.1256E-009,   4.6884E-009,  
46.628,   9.3116E-009,   4.4372E-009,  
47.642,   7.9900E-009,   4.9246E-009,  
48.656,   7.2814E-009,   5.2965E-009,  
49.670,   7.4472E-009,   4.9095E-009,  
50.684,   7.4271E-009,   5.7387E-009,  
51.698,   6.5980E-009,   4.4673E-009,  
52.712,   7.4372E-009,   4.8040E-009,  
53.726,   6.6030E-009,   6.2613E-009,  
54.740,   6.9397E-009,   5.1106E-009,  
55.754,   7.4020E-009,   5.4121E-009,  
56.768,   7.0503E-009,   5.7789E-009,  
57.798,   9.0352E-009,   4.9447E-009,  
58.796,   6.8392E-009,   3.5829E-009,  
59.810,   6.2513E-009,   5.9146E-009,  
60.824,   7.0251E-009,   5.6030E-009,  
61.838,   8.1910E-009,   4.7688E-009,  
62.852,   5.9447E-009,   4.8794E-009,  
63.866,   7.7789E-009,   5.4824E-009,  
64.880,   7.7739E-009,   5.2462E-009,  
65.894,   7.2513E-009,   4.1759E-009,  
66.908,   6.8141E-009,   5.8543E-009,  
67.922,   7.6533E-009,   5.0402E-009,  
68.937,   9.2060E-009,   3.7136E-009,  
69.951,   6.4673E-009,   5.6332E-009,  
70.965,   6.7588E-009,   4.8844E-009,  
71.979,   9.2362E-009,   3.1005E-009,  
72.993,   6.5226E-009,   4.5729E-009,  
74.007,   6.9548E-009,   5.4925E-009,  
75.021,   7.5729E-009,   5.2663E-009,  
76.035,   6.8643E-009,   4.0704E-009,  
77.049,   6.8894E-009,   5.2714E-009,  
78.063,   8.8945E-009,   5.2613E-009,  
79.077,   9.1357E-009,   4.0603E-009,  
80.091,   9.3417E-009,   6.0854E-009,  
81.105,   6.0955E-009,   5.0503E-009,  
82.119,   6.7487E-009,   5.8945E-009,  
83.133,   9.0905E-009,   3.3618E-009,  
84.147,   7.9095E-009,   4.5377E-009,  
85.161,   6.7588E-009,   5.1658E-009,  
